Code,Label
10,Cholera Due To Vibrio Cholerae
11,Cholera Due To Vibrio Cholerae El Tor
19,Cholera - Unspecified
20,Typhoid Fever
21,Paratyphoid Fever A
22,Paratyphoid Fever B
23,Paratyphoid Fever C
29,Paratyphoid Fever - Unspecified
30,Salmonella Gastroenteritis
31,Salmonella Septicaemia
32,Localized Salmonella Infections
38,Other Specified Salmonella Infection
39,Salmonella Infection - Unspecified
40,Shigella Dysenteriae
41,Shigella Flexneri
42,Shigella Boydii
43,Shigella Sonnei
48,Other Shigellosis
49,Shigellosis - Unspecified
50,Staphylococcal Food Poisoning
51,Botulism
52,Food Poisoning Due To Clostridium Perfringens (Cl. Welchii)
53,Food Poisoning Due To Other Clostridia
54,Food Poisoning Due To Vibrio Parahaemolyticus
58,Other Bacterial Food Poisoning
59,Food Poisoning - Unspecified
60,Acute Amoebic Dysentery Without Mention Of Abscess
61,Chronic Intestinal Amoebiasis Without Mention Of Abscess
62,Amoebic Nondysenteric Colitis
63,Amoebic Liver Abscess
64,Amoebic Lung Abscess
65,Amoebic Brain Abscess
66,Amoebic Skin Ulceration
68,Amoebic Infection Of Other Sites
69,Amoebiasis - Unspecified
70,Balantidiasis
71,Giardiasis
72,Coccidiosis
73,Intestinal Trichomoniasis
78,Other Protozoal Intestinal Diseases
79,Protozoal Intestinal Disease - Unspecified
80,Intestinal Infection Due To Escherichia Coli
81,Intestinal Infection Due To Arizona
82,Intestinal Infection Due To Aerobacter Aerogenes
83,Intestinal Infection Due To Proteus (Mirabilis)(Morganii)
84,Intestinal Infection Due To Other Specified Bacteria
85,Bacterial Enteritis - Unspecified
86,Enteritis Due To Specified Virus
88,Intestinal Infection Due To Other Organism Not Elsewhere Classified
90,"Infectious Colitis, Enteritis And Gastroenteritis"
91,"Colitis, Enteritis And Gastroenteritis Of Presumed Infectious Origin"
92,Infectious Diarrhoea
93,"Diarrhoea, Of Presumed Infectious Origin"
100,Primary Tuberculous Complex
101,Tuberculous Pleurisy In Prim. Prog. T.B.
108,Other Primary Progressive Tuberculosis
109,Unspecified Primary Tuberculous Infection
110,"Tuberculosis Of Lung, Infiltrative"
111,"Tuberculosis Of Lung, Nodular"
112,Tuberculosis Of Lung With Cavitation
113,Tuberculosis Of Bronchus
114,Tuberculous Fibrosis Of Lung
115,Tuberculous Bronchiectasis
116,Tuberculous Pneumonia (Any Form)
117,Tuberculous Pneumothorax
118,Other Pulmonary Tuberculosis
119,Unspecified Pulmonary Tuberculosis
120,Tuberculous Pleurisy
121,Tuberculosis Of Intrathoracic Lymph Nodes
122,Isolated Tracheal Or Bronchial Tuberculosis
123,Tuberculous Laryngitis
128,Other Respiratory Tuberculosis
130,Tuberculous Meningitis
131,Tuberculoma Of Meninges
138,Other Tuberculosis Of Meninges And C.N.S.
139,Unspecified T.B. Of Meninges And C.N.S.
149,"T.B. Intestines, Peritoneum, Mesenteric Glands"
150,Tuberculosis Of Vertebral Column
151,Tuberculosis Of Hip (Tubercle Bacilli Found
152,Tuberculosis Of Knee
157,Tuberculosis Of Other Bone
158,Tuberculosis Of Other Joint
159,Tuberculosis Of Unspecified Bones And Joints
160,Tuberculosis Of Kidney
161,Tuberculosis Of Other Urinary Organs
162,Tuberculosis Of Epididymis
163,Tuberculosis Of Other Male Genital Organs
164,Tuberculosis Of Female Genital Organs
169,Unspecified Tuberculosis Of Genitourinary System
170,Tuberculosis Of Skin And Subcutaneous Cellular Tissue
171,Erythema Nodosum With Hypersens. Reaction In T.B.
172,Tuberculosis Of Peripheral Lymph Nodes
173,Tuberculosis Of Eye
174,Tuberculosis Of Ear
175,Tuberculosis Of Thyroid Gland
176,Tuberculosis Of Adrenal Glands
177,Tuberculosis Of Spleen
178,Tuberculosis Of Other Organs
180,Acute Miliary Tuberculosis
188,Other Miliary Tuberculosis
189,Unspecified Miliary Tuberculosis
200,Bubonic Plague
201,Cellulocutaneous Plague
202,Septicaemic Plague
203,Primary Pneumonic Plague
204,Secondary Pneumonic Plague
205,Unspecified Pneumonic Plague
208,Other Plague
209,Unspecified Plague
219,Tularaemia
220,Cutaneous Anthrax
221,Pulmonary Anthrax
222,Gastrointestinal Anthrax
223,Anthrax Septicaemia
228,Other Manifestations Of Anthrax
229,Unspecified Anthrax
230,Brucella Melitensis
231,Brucella Abortus
232,Brucella Suis
233,Brucella Canis
238,Other Specified Brucella
239,Unspecified Brucella
249,Glanders
259,Melioidosis
260,Spirillary Fever
261,Streptobacillary Fever
269,Unspecified Rat-Bite Fever
270,Listeriosis
271,Erysipelothrix Infection
272,Pasteurellosis
278,Other Specified Zoonotic Bacterial Diseases
279,Unspecified Zoonotic Bacterial Diseases
300,Lepromatous (Type L) Leprosy
301,Tuberculoid (Type T) Leprosy
302,Indeterminate (Group I) Leprosy
303,Borderline (Group B) Leprosy
308,Other Leprosy
309,Unspecified Leprosy
310,Pulmonary Diseases Due To Other Mycobacteria
311,Cutaneous Diseases Due To Other Mycobacteria
318,Other Specified Diseases Due To Other Mycobacteria
319,Unspecified Diseases Due To Other Mycobacteria
320,Faucial Diphtheria
321,Nasopharyngeal Diphtheria
322,Anterior Nasal Diphtheria
323,Laryngeal Diphtheria
328,Other Diphtheria
329,Unspecified Diphtheria
330,Bordetella Pertussis
331,Bordetella Parapertussis
338,Whooping Cough Due To Other Specified Organism
339,"Whooping Cough, Unspecified Organism"
340,Streptococcal Sore Throat
341,Scarlatina
359,Erysipelas
360,Meningococcal Meningitis
361,Meningococcal Encephalitis
362,Meningococcaemia
363,"Waterhouse-Friderichsen Syndrome, Meningococcal"
364,Meningococcal Carditis
368,Other Meningococcal Infection
369,Unspecified Meningococcal Infection
379,Tetanus
380,Streptococcal Septicaemia
381,Staphylococcal Septicaemia
382,Pneumococcal Septicaemia
383,Septicaemia Due To Anaerobes
384,Septicaemia Due To Other Gram-Negative Organisms
388,Other Specified Septicaemias
389,Unspecified Septicaemia
390,Cutaneous Actinomycotic Infections
391,Pulmonary Actinomycotic Infections
392,Abdominal Actinomycotic Infections
393,Cervicofacial Actinomycotic Infections
394,Madura Foot
398,Actinomycotic Infections Of Other Specified Sites
399,Actinomycotic Infections Of Unspecified Site
400,Gas Gangrene
401,Rhinoscleroma
402,Whipple'S Disease
403,Necrobacillosis
408,Other Bacterial Diseases
410,Streptococcus Infection
411,Staphylococcus Infection
412,Pneumococcus Infection
413,Friedlander'S Bacillus Infection
414,Escherichia Coli Infection
415,Haemophilus Influenzae Infection
416,Proteus (Mirabilis) (Morganii) Infection
417,Pseudomonas Infection
418,Other Bacterial Infection
419,"Bacterial Infection, Unspecified"
450,Acute Paralytic Poliomylitis Specified As Bulbar
451,Acute Poliomyelitis With Other Paralysis
452,Acute Nonparalytic Poliomyelitis
459,"Acute Poliomyelitis, Unspecified"
460,Kuru
461,Jakob-Creutzfeldt Disease
462,Subacute Sclerosing Panencephalitis
463,Progressive Multifocal Leucoencephalopathy
468,Other Slow Virus Infection Of Central Nervous System
469,Unspecified Slow Virus Infection Of Central Nervous System
470,Meningitis Due To Coxsackie Virus
471,Meningitis Due To Echo Virus
478,Meningitis Due To Other Virus
479,Meningitis Due To Unspecified Virus
489,Other Enterovirus Diseases Of Central Nervous System
490,Lymphocytic Choriomeningitis
